Reporting Date,Sale Month,Store,Artist,Title,ISRC,UPC,Quantity,Team Percentage,Song/Album,Country of Sale,Songwriter Royalties Withheld,Earnings (USD)
2022-12-30,2022-10,Spotify,Lamanna,Bella Ciao (feat. Jay Aitch),QZNWQ2133345,196833204514.0,2,100,Song,DE,0,0.00749348
2022-12-30,2022-10,Spotify,Lamanna,Bella Ciao (feat. Jay Aitch),QZNWQ2133345,196833204514.0,9,100,Song,DE,0,0.04223983
2022-12-30,2022-10,Spotify,Lamanna,Bella Ciao (feat. Jay Aitch),QZNWQ2133345,196833204514.0,3,100,Song,DK,0,0.02113581
2022-12-30,2022-10,Spotify,Lamanna,Bella Ciao (feat. Jay Aitch),QZNWQ2133345,196833204514.0,1,100,Song,EE,0,0.00291284
2022-12-30,2022-10,Spotify,Lamanna,Bella Ciao (feat. Jay Aitch),QZNWQ2133345,196833204514.0,1,100,Song,ES,0,0.00030199
2022-12-30,2022-10,Spotify,Lamanna,Bella Ciao (feat. Jay Aitch),QZNWQ2133345,196833204514.0,1,100,Song,FR,0,0.00066755
2022-12-30,2022-10,Spotify,Lamanna,Bella Ciao (feat. Jay Aitch),QZNWQ2133345,196833204514.0,1,100,Song,FR,0,0.00066755
2022-12-30,2022-10,Spotify,Lamanna,Bella Ciao (feat. Jay Aitch),QZNWQ2133345,196833204514.0,4,100,Song,ID,0,0.00029457
2022-12-30,2022-10,Spotify,Lamanna,Bella Ciao (feat. Jay Aitch),QZNWQ2133345,196833204514.0,5,100,Song,ID,0,0.0020588
2022-12-30,2022-10,Spotify,Lamanna,Bella Ciao (feat. Jay Aitch),QZNWQ2133345,196833204514.0,1,100,Song,IL,0,0.00015894
2022-12-30,2022-10,Spotify,Lamanna,Bella Ciao (feat. Jay Aitch),QZNWQ2133345,196833204514.0,1,100,Song,IT,0,0.00050543
2022-12-30,2022-10,Spotify,Lamanna,Bella Ciao (feat. Jay Aitch),QZNWQ2133345,196833204514.0,37,100,Song,NL,0,0.19893961
